id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20146526,"Capsule Hotel @LAF hotel, BTS Ari + Free Breakfast",130628132,Laf,,Phaya Thai,13.77805,100.54403,Private room,3500,1,2,2018-12-12,0.03,3,179,0,
20514960,2BedRooms Suites - 80m to BTS Station.,37749512,LuxurySuitesAsia,,Phaya Thai,13.77422,100.54035,Hotel room,5265,2,2,2019-04-05,0.04,10,0,0,
20515239,The chapter one Midtown condominium,146466132,Suthin,,Chatu Chak,13.80761,100.57254,Private room,1500,1,0,,,1,90,0,
20147018,Suparai life,142393747,Wattanee,,Sathon,13.70977,100.51919,Private room,2400,1,0,,,1,364,0,
20530551,Luxury Condo 2 bedrooms /Sofabed with full kitchen,55218554,Jm,,Khlong Toei,13.72905,100.57129,Private room,4900,2,0,,,1,362,0,
20148208,Geisawa house,8793103,Wa,,Saphan Sung,13.75833,100.67961,Private room,5000,1,3,2019-10-30,0.08,1,89,0,
20531168,Cozy studio apartment by Lux at Ideo Wuttagard.,104122286,Laksanara,,Chom Thong,13.71459,100.4666,Private room,520,2,153,2022-07-31,2.83,14,266,20,
20156757,Hotel Papa Bangkok; Comfy King Room,140542292,Sita,,Bangkok Noi,13.765,100.48447,Private room,1290,1,0,,,4,365,0,
20533776,Lumpini riverside rama3,62883201,Wasika,,Yan na wa,13.68029,100.52668,Private room,418,365,0,,,1,363,0,
20156867,Hotel Papa Bangkok; Duo Twin Room,140542292,Sita,,Bangkok Noi,13.76631,100.48429,Private room,1290,1,0,,,4,363,0,
20534835,"♡Sunny & Green @ Sukhumvit, minutes to BTS",1927968,Evan,,Bang Na,13.6613,100.60706,Entire home/apt,1071,2,60,2022-07-03,0.97,24,365,4,
20161933,"Bohemian Abode, Work from Home, Experience Night Market",29600660,Jah,,Din Daeng,13.77221,100.5733,Entire home/apt,1500,28,221,2022-09-16,3.54,5,31,1,
20547386,Spacious 3 bedrooms very close to sky train-11CS,46224081,Orranart,,Bang Rak,13.72471,100.5305,Entire home/apt,3994,1,174,2022-08-26,2.81,10,339,4,
20169695,One Bedroom Condo near BTS Skytrain,36644963,Omo,,Phaya Thai,13.78776,100.5471,Entire home/apt,1553,2,20,2019-12-26,0.32,1,31,0,
20547545,Onnut - Gorgeous Studio Apartment near Sky Train,91235259,Manuel,,Vadhana,13.718531,100.58802,Entire home/apt,780,28,18,2022-08-17,0.30,1,115,3,
20548678,SiRi Ratchada Bangkok,142557524,SiRi Ratchada,,Chatu Chak,13.81894,100.58682,Private room,1080,1,0,,,1,365,0,
20177782,4 pax bedroom house Bathtub DMK airport wifi ❤️❤️,10981779,Kate,,Sai Mai,13.91875,100.67259,Entire home/apt,3661,5,2,2018-01-18,0.03,5,90,0,
20549802,Take a Breath in Bangkok suburb,146711380,Kiattikun,,Thawi Watthana,13.78889,100.35652,Entire home/apt,800,1,0,,,2,180,0,
20179768,Close to BTS Wong Wian Yai,123194331,Emon,,Thon buri,13.715,100.49192,Private room,2200,7,0,,,1,365,0,
